topic,stems,docs,label,notes
36,"student, loan, rate, educ, debt, interest, borrow, act, help, higher","393casey, 561moran, 1157warner, 1144warner, 709markey, 972gillibrand, 324moran, 1001heitkamp, 569bennet, 796warner",Student Loans,"Incl. debt, general higher ed "
37,"right, human, freedom, israel, intern, religi, support, foreign, continu, countri","244risch, 1948brown, 565mikulski, 604carper, 1158gillibrand, 1658menendez, 2996brown, 1408durbin, 482mikulski, 1029vitter",Human Rights,"Incl. Georgian arrests, Israel, immigration"
38,"disast, fund, assist, damag, sandi, help, flood, storm, fema, emerg","875blumenthal, 720mikulski, 210sessions, 601mikulski, 870mikulski, 589donnelly, 1008markey, 702mikulski, 738murkowski, 1061bennet",Disasters,"Incl. Sandy, CO fires, western drought"
39,"violenc, law, gun, victim, act, enforc, sexual, domest, traffick, assault","1282blumenthal, 1089gillibrand, 845murray, 1197cardin, 1092bennet, 716klobuchar, 1003bennet, 1228cardin, 1482hoeven, 793cornyn",Violence,"Incl. guns, sexual/domestic, trafficking"
40,"tax, busi, credit, act, compani, taxpay, incom, need, sale, help","1548hoeven, 531baldwin, 823cornyn, 765coons, 522heller, 1572rubio, 931mcconnell, 1605rubio, 386sessions, 982markey",Taxes,"Incl. internet sales, individual mandate"
41,"fire, firefight, grant, program, fund, respond, emerg, equip, protect, help","1313leahy, 1574grassley, 1153blumenthal, 659hatch, 847mcconnell, 920warner, 954tester, 865stabenow, 258crapo, 2027vitter",Grants,"Incl. fire depts, first responders, "
42,"militari, forc, air, defen, sexual, assault, base, support, includ, command","481heller, 674murray, 1529king, 1327cardin, 1389portman, 1301king, 971markey, 1035murphy, 478stabenow, 1553gillibrand",Defense,"Incl. homeland, funding, sexual assault"
43,"safeti, rail, transport, train, car, railroad, need, oil, also, improv","1185blumenthal, 1295cardin, 709tomudall, 712mikulski, 994portman, 226lgraham, 1206cardin, 812warner, 896murkowski, 475hirono",Trains,"Incl. new lines, derailments"
44,"health, care, law, obamacar, insur, plan, administr, cost, employ, exchang","376flake, 2025brown, 1633gillibrand, 404flake, 872vitter, 910casey, 1471menendez, 713feinstein, 1192rubio, 929casey",Healthcare 3,"Incl. PPACA, exchange website, mandate"
45,"act, agenc, help, requir, support, also, save, law, thi, introduc","485ronjohnson, 1530menendez, 467hirono, 446enzi, 951markey, 1225blumenthal, 830cornyn, 413corker, 820cardin, 753hatch",Agencies,"Incl. oversight, regional assistance, symbolic leg"
